City_ID,City,Longitude,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,kikwit,18.8162,-5.041,23.11,83,39,1.36,CD,1707795835
242,chui,-53.4616,-33.6971,20.4,91,100,5.71,UY,1707795835
243,murzuq,13.9184,25.9155,14.26,43,0,3.76,LY,1707795835
244,bhimunipatnam,83.4333,17.8833,22.73,49,90,1.42,IN,1707795836
245,saint-joseph,55.6167,-21.3667,27.21,81,72,3.62,RE,1707795836
246,gracemere,150.45,-23.4333,27.95,78,40,3.09,AU,1707795837
247,cadale,46.3222,2.7603,26.52,83,61,5.88,SO,1707795837
248,sai buri,101.6168,6.7013,28.84,69,73,7,TH,1707795837
249,pacajus,-38.4606,-4.1725,27.64,96,47,1.58,BR,1707795837
250,mao,4.2658,39.8885,12.31,76,0,6.69,ES,1707795838
251,nemuro,145.575,43.3236,2.61,77,4,7.12,JP,1707795838
252,manacapuru,-60.6206,-3.2997,25.4,87,70,1.35,BR,1707795838
253,greymouth,171.2,-42.4667,16.35,68,74,4.33,NZ,1707795839
254,hami,93.45,42.8,1.19,38,100,3.71,CN,1707795839
255,guiuan,125.7247,11.0333,27.89,77,90,3.94,PH,1707795839
256,mahibadhoo,72.9667,3.7833,28.04,81,100,7.21,MV,1707795839
257,port hedland,118.5667,-20.3167,32.03,62,100,4.63,AU,1707795815
258,diebougou,-3.25,10.9667,25.39,12,90,1.95,BF,1707795839
259,bandarbeyla,50.8122,9.4942,25.97,74,15,4.79,SO,1707795654
260,prince rupert,-130.3201,54.3161,5.83,93,20,6.17,CA,1707795840
261,grand-bassam,-3.7388,5.2118,28.98,88,42,3,CI,1707795841
262,saiha,92.9667,22.4833,25.87,19,3,1.27,IN,1707795841
263,ibi,-0.5723,38.6253,14.01,62,100,2.21,ES,1707795842
264,hilo,-155.09,19.7297,25.16,81,100,1.54,US,1707795842
265,sabha,14.4283,27.0377,13.88,47,0,4.44,LY,1707795842
266,illizi,8.4667,26.4833,15.89,34,0,2.91,DZ,1707795843
267,redencao,-38.7306,-4.2258,23.64,98,46,1.19,BR,1707795843
268,kyshtovka,76.6271,56.555,-19.84,97,94,2.22,RU,1707795731
269,nar'yan-mar,53.087,67.6713,-32.72,100,19,2.24,RU,1707795844
270,yurimaguas,-76.0833,-5.9,23.38,96,92,0.76,PE,1707795844
271,general villegas,-63.0125,-35.0328,15.49,62,1,4.44,AR,1707795845
272,jau,-48.5578,-22.2964,26.07,65,100,1.54,BR,1707795845
273,mirnyy,113.9611,62.5353,-26.64,94,97,2.66,RU,1707795846
274,port-cartier,-66.8654,50.0334,-7.18,93,98,1.83,CA,1707795846
275,dudinka,86.1778,69.4058,-37.4,99,44,1.79,RU,1707795823
276,inverloch,145.7167,-38.6333,35.03,29,13,8.81,AU,1707795847
277,bam,58.357,29.106,13.49,35,0,2.96,IR,1707795847
278,halapitan,125.33,7.9175,25.89,73,100,3.17,PH,1707795847
279,kish,54.0194,26.5578,17.15,94,1,2.06,IR,1707795847
280,masterton,175.6575,-40.9597,22.83,31,10,2.36,NZ,1707795848
281,n'zeto,12.8666,-7.2312,27.55,88,100,4.26,AO,1707795848
282,veinticinco de mayo,-60.1727,-35.4323,13.04,70,0,3.88,AR,1707795848
283,cole harbour,-63.4751,44.6724,0.71,88,97,1.5,CA,1707795848
284,port alfred,26.891,-33.5906,17.88,96,1,2.6,ZA,1707795789
285,upington,21.2561,-28.4478,23.21,38,2,1.54,ZA,1707795796
286,camana,-72.7111,-16.6228,24.07,83,98,1.28,PE,1707795849
287,changqing,116.7272,36.5575,16.48,43,0,6.72,CN,1707795850
288,okhotsk,143.3,59.3833,-21.64,89,100,2.79,RU,1707795651
289,karachi,67.0822,24.9056,18.9,39,75,2.57,PK,1707795661
290,boa vista,-60.6733,2.8197,29.99,58,40,8.23,BR,1707795851
291,new kingman-butler,-114.0323,35.265,8.51,59,0,2.57,US,1707795851
292,nuporanga,-47.7306,-20.7308,23.77,68,100,2.39,BR,1707795852
293,buka,69.1986,40.8108,7.26,67,95,0.65,UZ,1707795852
294,suva,178.4415,-18.1416,29.71,84,75,2.06,FJ,1707795852
295,santyoku,129.1708,37.4406,12,53,1,3.11,KR,1707795852
296,castanos,-101.4167,26.7833,12.17,30,0,3.37,MX,1707795853
297,leh,77.5833,34.1667,-10.98,67,72,0.78,IN,1707795854
298,tanggu,117.6469,39.0211,10.98,71,1,1.67,CN,1707795854
299,borogontsy,131.1683,62.6683,-26.27,93,100,2.02,RU,1707795855
300,yarmouth,-70.2286,41.7057,3.31,87,100,1.34,US,1707795855
301,totness,-56.3167,5.8833,24.79,89,78,3.31,SR,1707795855
302,weno,151.8468,7.4515,29.97,66,40,6.69,FM,1707795855
303,muisne,-80.0333,0.6,26.85,86,94,4.28,EC,1707795856
304,nahiyat al fuhud,46.7228,30.9697,15.1,57,16,3.16,IQ,1707795856
305,east london,27.9116,-33.0153,20.52,88,0,2.06,ZA,1707795682
306,mossel bay,22.146,-34.1831,17.96,84,41,4.6,ZA,1707795857
307,fort bragg,-79.006,35.139,15.46,94,100,4.12,US,1707795857
308,sao vicente,-46.3919,-23.9631,30.1,26,93,2.94,BR,1707795857
309,lerwick,-1.1494,60.1545,4,97,98,4.93,GB,1707795668
310,mount gambier,140.7667,-37.8333,22.84,51,34,7.18,AU,1707795858
311,pathein,94.7333,16.7833,32.31,24,34,3.51,MM,1707795858
312,meridian,-116.3915,43.6121,5.84,72,100,2.57,US,1707795752
313,slave lake,-114.769,55.2834,-2.01,46,75,6.69,CA,1707795759
314,barmer,71.3833,25.75,17.83,20,58,4.12,IN,1707795859
315,rabo de peixe,-25.5833,37.8,17.77,99,75,10.29,PT,1707795859
316,forster,152.5167,-32.1667,28.54,65,5,9.59,AU,1707795860
317,roosevelt,-103.4505,33.9668,-0.07,67,0,5.24,US,1707795860
318,igarka,86.5833,67.4667,-36.36,95,23,1.99,RU,1707795860
319,kannangad,75.1063,12.3081,27.92,49,3,1.4,IN,1707795860
320,akureyri,-18.0878,65.6835,-0.04,100,75,6.69,IS,1707795860
321,cam ranh,109.1591,11.9214,27.98,57,20,7.2,VN,1707795862
322,chilliwack,-121.9443,49.1747,6.55,91,32,0.45,CA,1707795862
323,papao,-149.55,-17.75,27.82,89,100,14.39,PF,1707795862
324,saint-francois,3.9054,46.4154,4.12,100,0,2.06,FR,1707795862
325,ferkessedougou,-5.2,9.6,25.48,13,100,0.54,CI,1707795863
326,pontianak,109.3333,-0.0333,28.99,83,75,2.57,ID,1707795863
327,hammerfest,23.6821,70.6634,-5.75,73,98,8.75,NO,1707795863
328,le port,55.2919,-20.9373,28.98,79,55,2.49,RE,1707795863
329,at taj,23.2857,24.2049,13.33,36,0,3.75,LY,1707795864
330,mandera,41.867,3.9366,25.62,67,7,2.81,KE,1707795864
331,boise,-116.2035,43.6135,5.67,70,75,2.57,US,1707795599
332,fairbanks,-147.7164,64.8378,-5.31,87,75,3.6,US,1707795865
333,kirakira,161.9205,-10.4544,29.31,71,77,6.92,SB,1707795811
334,pangai,-174.35,-19.8,29.06,84,75,4.12,TO,1707795865
335,ksour essaf,10.9948,35.4181,13.92,78,2,6.83,TN,1707795866
336,axim,-2.2405,4.8699,27.51,86,18,2.58,GH,1707795866
337,paranhos,-55.4311,-23.8928,26.68,61,83,2.09,BR,1707795866
338,solnechnyy,136.6319,50.7214,-10.54,91,100,2.77,RU,1707795866
339,laojunmiao,97.7333,39.8333,-2.67,48,34,2.83,CN,1707795867
340,bol,14.7147,13.4586,21.42,26,1,5.25,TD,1707795867
341,andergrove,149.1833,-21.0833,28.14,81,36,4.57,AU,1707795867
342,la ronge,-105.2842,55.1001,-1.86,74,75,3.09,CA,1707795672
343,kayangel,134.7173,8.0823,27.34,79,70,10.92,PW,1707795868
344,cobija,-68.7692,-11.0267,22.95,99,100,0.69,BO,1707795868
345,saudarkrokur,-19.6394,65.7461,0.1,95,100,8.55,IS,1707795868
346,price,-110.8107,39.5994,0.06,74,0,3.09,US,1707795869
347,brad,22.7833,46.1333,6.75,96,100,1.57,RO,1707795869
348,guadalupe,-100.25,25.6833,15.67,38,40,3.09,MX,1707795869
349,katsuura,140.3,35.1333,15.01,60,3,12.03,JP,1707795654
350,vriddhachalam,79.3333,11.5,28.11,54,100,5.05,IN,1707795734
351,talitsy,42.3344,56.5289,-10.42,94,100,3.51,RU,1707795870
352,paka,103.4368,4.6374,28.96,74,40,4.12,MY,1707795870
353,capitao poco,-47.0594,-1.7464,23.15,98,98,1.9,BR,1707795871
354,nong phai,101.0618,15.9903,30.79,30,56,2.19,TH,1707795872
355,makar'yev,43.8069,57.8797,-21.03,99,30,2.69,RU,1707795872
356,forio,13.8646,40.7342,11.9,91,100,0.89,IT,1707795873
357,kailua-kona,-155.9956,19.6406,26.98,59,20,5.14,US,1707795874
358,emmett,-116.4993,43.8735,6.31,65,100,0.77,US,1707795874
359,maua,-46.4614,-23.6678,25.16,74,89,2.54,BR,1707795874
360,turpan,89.1667,42.9333,5.76,36,100,1.62,CN,1707795875
361,el granada,-122.4694,37.5027,12.88,84,40,6.69,US,1707795791
362,klaksvik,-6.589,62.2266,2.51,80,77,3.69,FO,1707795768
363,gladstone,151.25,-23.85,28.96,70,100,6.69,AU,1707795875
364,pangody,74.4859,65.85,-39.79,100,40,1.46,RU,1707795687
